"X","WAIC","Set","Pattern","Mesh"
19,-188.051747593782,"Set4","Pattern19","Mesh25"
20,-713.467872399618,"Set4","Pattern20","Mesh25"
1,-5330.66337835868,"Set1","Pattern1","Mesh26"
2,-4836.93002319674,"Set1","Pattern2","Mesh26"
3,-5947.48750769422,"Set1","Pattern3","Mesh26"
4,-5993.17963475767,"Set1","Pattern4","Mesh26"
5,-5359.56831945427,"Set1","Pattern5","Mesh26"
6,-2844.81310257915,"Set2","Pattern6","Mesh26"
7,-7409.62009289359,"Set2","Pattern7","Mesh26"
8,-5582.23372010706,"Set2","Pattern8","Mesh26"
9,-3655.32917352312,"Set2","Pattern9","Mesh26"
10,-10370.7395559388,"Set2","Pattern10","Mesh26"
11,-261.042754545057,"Set3","Pattern11","Mesh26"
12,-280.034237360686,"Set3","Pattern12","Mesh26"
13,-354.611723119457,"Set3","Pattern13","Mesh26"
14,-358.537493778253,"Set3","Pattern14","Mesh26"
15,-410.486515843566,"Set3","Pattern15","Mesh26"
16,-128.28821501563,"Set4","Pattern16","Mesh26"
17,-594.330712945288,"Set4","Pattern17","Mesh26"
18,-358.982281439468,"Set4","Pattern18","Mesh26"
19,-187.765013144287,"Set4","Pattern19","Mesh26"
20,-713.493095963171,"Set4","Pattern20","Mesh26"
1,-5338.61654912789,"Set1","Pattern1","Mesh27"
2,-4836.25397093365,"Set1","Pattern2","Mesh27"
3,-5956.96996845891,"Set1","Pattern3","Mesh27"
4,-6000.79009691612,"Set1","Pattern4","Mesh27"
5,-5365.84829171489,"Set1","Pattern5","Mesh27"
6,-2843.86585789312,"Set2","Pattern6","Mesh27"
7,-7429.0583984347,"Set2","Pattern7","Mesh27"
8,-5590.5853485858,"Set2","Pattern8","Mesh27"
9,-3661.8916588483,"Set2","Pattern9","Mesh27"
10,-10362.4623105991,"Set2","Pattern10","Mesh27"
11,-261.204845874133,"Set3","Pattern11","Mesh27"
12,-280.076953451802,"Set3","Pattern12","Mesh27"
13,-354.71769852263,"Set3","Pattern13","Mesh27"
14,-358.662998489057,"Set3","Pattern14","Mesh27"
15,-411.153317359036,"Set3","Pattern15","Mesh27"
16,-128.194180715259,"Set4","Pattern16","Mesh27"
17,-595.532694556379,"Set4","Pattern17","Mesh27"
18,-359.510289473897,"Set4","Pattern18","Mesh27"
19,-188.724073581687,"Set4","Pattern19","Mesh27"
20,-713.180160205434,"Set4","Pattern20","Mesh27"
1,-5347.38848767309,"Set1","Pattern1","Mesh28"
2,-4843.52715862836,"Set1","Pattern2","Mesh28"
3,-5960.12923383908,"Set1","Pattern3","Mesh28"
4,-5998.07022807742,"Set1","Pattern4","Mesh28"
5,-5370.56865421379,"Set1","Pattern5","Mesh28"
6,-2844.75237513389,"Set2","Pattern6","Mesh28"
7,-7436.57419965545,"Set2","Pattern7","Mesh28"
8,-5589.98441048667,"Set2","Pattern8","Mesh28"
9,-3662.98073832401,"Set2","Pattern9","Mesh28"
10,-10371.0676058541,"Set2","Pattern10","Mesh28"
11,-261.166524119442,"Set3","Pattern11","Mesh28"
12,-280.107445322439,"Set3","Pattern12","Mesh28"
13,-355.102426304605,"Set3","Pattern13","Mesh28"
14,-358.655959807289,"Set3","Pattern14","Mesh28"
15,-411.201015677577,"Set3","Pattern15","Mesh28"
16,-128.614231657804,"Set4","Pattern16","Mesh28"
17,-596.427982744544,"Set4","Pattern17","Mesh28"
18,-359.317336168345,"Set4","Pattern18","Mesh28"
19,-188.796061389075,"Set4","Pattern19","Mesh28"
20,-715.592493067839,"Set4","Pattern20","Mesh28"
1,-5343.69184255861,"Set1","Pattern1","Mesh29"
2,-4833.64934326114,"Set1","Pattern2","Mesh29"
3,-5961.06113295682,"Set1","Pattern3","Mesh29"
4,-5996.66001558907,"Set1","Pattern4","Mesh29"
5,-5361.70904523775,"Set1","Pattern5","Mesh29"
6,-2842.68698011545,"Set2","Pattern6","Mesh29"
7,-7436.4849465647,"Set2","Pattern7","Mesh29"
8,-5587.25161912123,"Set2","Pattern8","Mesh29"
9,-3653.91076096752,"Set2","Pattern9","Mesh29"
10,-10378.8810233825,"Set2","Pattern10","Mesh29"
11,-261.16835802505,"Set3","Pattern11","Mesh29"
12,-280.050368154003,"Set3","Pattern12","Mesh29"
13,-354.510241023153,"Set3","Pattern13","Mesh29"
14,-358.591530217987,"Set3","Pattern14","Mesh29"
15,-410.496031527819,"Set3","Pattern15","Mesh29"
16,-128.167141221064,"Set4","Pattern16","Mesh29"
17,-595.51075225525,"Set4","Pattern17","Mesh29"
18,-359.39173280478,"Set4","Pattern18","Mesh29"
19,-188.038805113409,"Set4","Pattern19","Mesh29"
20,-713.468297218351,"Set4","Pattern20","Mesh29"
1,-4598.74422816688,"Set1","Pattern1","Mesh3"
2,-4442.08393468073,"Set1","Pattern2","Mesh3"
3,-5240.10706434528,"Set1","Pattern3","Mesh3"
4,-5604.19142971392,"Set1","Pattern4","Mesh3"
5,-4592.36993022426,"Set1","Pattern5","Mesh3"
6,-2454.88464924371,"Set2","Pattern6","Mesh3"
7,-6309.73249557303,"Set2","Pattern7","Mesh3"
8,-5995.70281636287,"Set2","Pattern8","Mesh3"
9,-3136.32937993601,"Set2","Pattern9","Mesh3"
10,-8993.07108503171,"Set2","Pattern10","Mesh3"
11,-253.806189925519,"Set3","Pattern11","Mesh3"
12,-272.240296072904,"Set3","Pattern12","Mesh3"
13,-337.607731823194,"Set3","Pattern13","Mesh3"
14,-352.033067572923,"Set3","Pattern14","Mesh3"
15,-387.056968740457,"Set3","Pattern15","Mesh3"
16,-98.0489976389844,"Set4","Pattern16","Mesh3"
17,-463.072423713721,"Set4","Pattern17","Mesh3"
18,-306.253623951244,"Set4","Pattern18","Mesh3"
19,-151.308844146769,"Set4","Pattern19","Mesh3"
20,-557.516527954403,"Set4","Pattern20","Mesh3"
1,-5330.67319084441,"Set1","Pattern1","Mesh30"
2,-4837.07410951818,"Set1","Pattern2","Mesh30"
3,-5947.60249763954,"Set1","Pattern3","Mesh30"
4,-5993.66345864176,"Set1","Pattern4","Mesh30"
5,-5359.48250092171,"Set1","Pattern5","Mesh30"
6,-2844.81124352908,"Set2","Pattern6","Mesh30"
7,-7410.21717432197,"Set2","Pattern7","Mesh30"
8,-5582.3344259978,"Set2","Pattern8","Mesh30"
9,-3655.28972036781,"Set2","Pattern9","Mesh30"
10,-10371.0073503452,"Set2","Pattern10","Mesh30"
11,-261.044766870309,"Set3","Pattern11","Mesh30"
12,-280.046619945944,"Set3","Pattern12","Mesh30"
13,-354.620155277027,"Set3","Pattern13","Mesh30"
14,-358.551385414498,"Set3","Pattern14","Mesh30"
15,-410.356789949583,"Set3","Pattern15","Mesh30"
16,-128.268878680822,"Set4","Pattern16","Mesh30"
17,-594.32260945812,"Set4","Pattern17","Mesh30"
18,-358.990724640475,"Set4","Pattern18","Mesh30"
19,-187.810970696042,"Set4","Pattern19","Mesh30"
20,-713.475174266416,"Set4","Pattern20","Mesh30"
1,-5338.58643291268,"Set1","Pattern1","Mesh31"
2,-4836.26455819655,"Set1","Pattern2","Mesh31"
3,-5956.95877323056,"Set1","Pattern3","Mesh31"
4,-6000.75091637851,"Set1","Pattern4","Mesh31"
5,-5365.85445232462,"Set1","Pattern5","Mesh31"
6,-2843.85398620209,"Set2","Pattern6","Mesh31"
7,-7429.11235016537,"Set2","Pattern7","Mesh31"
8,-5590.54811569694,"Set2","Pattern8","Mesh31"
9,-3661.92436964011,"Set2","Pattern9","Mesh31"
10,-10362.5368710939,"Set2","Pattern10","Mesh31"
11,-261.159281806616,"Set3","Pattern11","Mesh31"
12,-280.06921473495,"Set3","Pattern12","Mesh31"
13,-354.676742623535,"Set3","Pattern13","Mesh31"
14,-358.664065514373,"Set3","Pattern14","Mesh31"
15,-411.122617674085,"Set3","Pattern15","Mesh31"
16,-128.212901852748,"Set4","Pattern16","Mesh31"
17,-595.537851844414,"Set4","Pattern17","Mesh31"
18,-359.532651400925,"Set4","Pattern18","Mesh31"
19,-188.720254503558,"Set4","Pattern19","Mesh31"
20,-713.187390469129,"Set4","Pattern20","Mesh31"
1,-5285.63320066502,"Set1","Pattern1","Mesh32"
2,-4799.59164372508,"Set1","Pattern2","Mesh32"
3,-5926.26711839501,"Set1","Pattern3","Mesh32"
4,-5922.31387014369,"Set1","Pattern4","Mesh32"
5,-5310.88959830331,"Set1","Pattern5","Mesh32"
6,-2835.71532197237,"Set2","Pattern6","Mesh32"
7,-7397.7697470909,"Set2","Pattern7","Mesh32"
8,-5575.99575211118,"Set2","Pattern8","Mesh32"
9,-3643.20742391101,"Set2","Pattern9","Mesh32"
10,-10371.5599313364,"Set2","Pattern10","Mesh32"
11,-261.114963459217,"Set3","Pattern11","Mesh32"
12,-280.077830373593,"Set3","Pattern12","Mesh32"
13,-355.186853443565,"Set3","Pattern13","Mesh32"
14,-358.670491831199,"Set3","Pattern14","Mesh32"
15,-411.149108696684,"Set3","Pattern15","Mesh32"
16,-128.626247206309,"Set4","Pattern16","Mesh32"
17,-596.468700368223,"Set4","Pattern17","Mesh32"
18,-359.322856580015,"Set4","Pattern18","Mesh32"
19,-188.813499267897,"Set4","Pattern19","Mesh32"
20,-715.649019728943,"Set4","Pattern20","Mesh32"
1,-5360.04861317793,"Set1","Pattern1","Mesh33"
2,-4853.08272267978,"Set1","Pattern2","Mesh33"
3,-5973.38978564125,"Set1","Pattern3","Mesh33"
4,-6018.92712864045,"Set1","Pattern4","Mesh33"
5,-5382.49242855233,"Set1","Pattern5","Mesh33"
6,-2851.0614759208,"Set2","Pattern6","Mesh33"
7,-7455.83329394988,"Set2","Pattern7","Mesh33"
8,-5599.67330089552,"Set2","Pattern8","Mesh33"
9,-3669.69204185256,"Set2","Pattern9","Mesh33"
10,-10396.9909438987,"Set2","Pattern10","Mesh33"
11,-261.26795363931,"Set3","Pattern11","Mesh33"
12,-280.221381915536,"Set3","Pattern12","Mesh33"
13,-356.227867490549,"Set3","Pattern13","Mesh33"
14,-358.729021022401,"Set3","Pattern14","Mesh33"
15,-412.195814070873,"Set3","Pattern15","Mesh33"
16,-128.669855474767,"Set4","Pattern16","Mesh33"
17,-597.440705604997,"Set4","Pattern17","Mesh33"
18,-359.587321250241,"Set4","Pattern18","Mesh33"
19,-189.044929927834,"Set4","Pattern19","Mesh33"
20,-714.668672950838,"Set4","Pattern20","Mesh33"
1,-5359.19607174618,"Set1","Pattern1","Mesh34"
2,-4853.65655250922,"Set1","Pattern2","Mesh34"
3,-5972.13494858971,"Set1","Pattern3","Mesh34"
4,-6019.44190065319,"Set1","Pattern4","Mesh34"
5,-5381.99654856603,"Set1","Pattern5","Mesh34"
6,-2851.25459257975,"Set2","Pattern6","Mesh34"
7,-7455.85967906914,"Set2","Pattern7","Mesh34"
8,-5598.61829925843,"Set2","Pattern8","Mesh34"
9,-3670.37966086977,"Set2","Pattern9","Mesh34"
10,-10396.3979297531,"Set2","Pattern10","Mesh34"
11,-261.275934558208,"Set3","Pattern11","Mesh34"
12,-280.201257923649,"Set3","Pattern12","Mesh34"
13,-357.065268100775,"Set3","Pattern13","Mesh34"
14,-358.749051316793,"Set3","Pattern14","Mesh34"
15,-411.816308038411,"Set3","Pattern15","Mesh34"
16,-128.679729605333,"Set4","Pattern16","Mesh34"
17,-597.049000538785,"Set4","Pattern17","Mesh34"
18,-359.515387732901,"Set4","Pattern18","Mesh34"
19,-188.385565813704,"Set4","Pattern19","Mesh34"
20,-715.105416980478,"Set4","Pattern20","Mesh34"
1,-5285.77854010763,"Set1","Pattern1","Mesh35"
2,-4803.75741126317,"Set1","Pattern2","Mesh35"
3,-5935.60160585318,"Set1","Pattern3","Mesh35"
4,-5943.39145824232,"Set1","Pattern4","Mesh35"
5,-5328.86461745949,"Set1","Pattern5","Mesh35"
6,-2838.26032353032,"Set2","Pattern6","Mesh35"
7,-7398.09859312315,"Set2","Pattern7","Mesh35"
8,-5582.46704590731,"Set2","Pattern8","Mesh35"
9,-3649.71202181575,"Set2","Pattern9","Mesh35"
10,-10320.9257449452,"Set2","Pattern10","Mesh35"
11,-260.813820701515,"Set3","Pattern11","Mesh35"
12,-279.570956038087,"Set3","Pattern12","Mesh35"
13,-353.518002948644,"Set3","Pattern13","Mesh35"
14,-358.312393241489,"Set3","Pattern14","Mesh35"
15,-407.466664613922,"Set3","Pattern15","Mesh35"
16,-126.676478015249,"Set4","Pattern16","Mesh35"
17,-589.937564516326,"Set4","Pattern17","Mesh35"
18,-357.39405728931,"Set4","Pattern18","Mesh35"
19,-185.399782224529,"Set4","Pattern19","Mesh35"
20,-703.994984724764,"Set4","Pattern20","Mesh35"
1,-5294.32288780236,"Set1","Pattern1","Mesh36"
2,-4805.52824343023,"Set1","Pattern2","Mesh36"
3,-5933.70877924709,"Set1","Pattern3","Mesh36"
4,-5941.04718877748,"Set1","Pattern4","Mesh36"
5,-5326.34855214909,"Set1","Pattern5","Mesh36"
6,-2837.90308040793,"Set2","Pattern6","Mesh36"
7,-7414.0852285284,"Set2","Pattern7","Mesh36"
8,-5582.79607787342,"Set2","Pattern8","Mesh36"
9,-3645.11778589211,"Set2","Pattern9","Mesh36"
10,-10377.3077420621,"Set2","Pattern10","Mesh36"
11,-260.72075301131,"Set3","Pattern11","Mesh36"
12,-279.586571890217,"Set3","Pattern12","Mesh36"
13,-353.743435058285,"Set3","Pattern13","Mesh36"
14,-358.320397271603,"Set3","Pattern14","Mesh36"
15,-408.838281220683,"Set3","Pattern15","Mesh36"
16,-126.768044898432,"Set4","Pattern16","Mesh36"
17,-590.185250928179,"Set4","Pattern17","Mesh36"
18,-357.265551941384,"Set4","Pattern18","Mesh36"
19,-185.526166081782,"Set4","Pattern19","Mesh36"
20,-707.301187621677,"Set4","Pattern20","Mesh36"
1,-4698.39013857009,"Set1","Pattern1","Mesh4"
2,-4664.8426029584,"Set1","Pattern2","Mesh4"
3,-5407.54798848033,"Set1","Pattern3","Mesh4"
4,-5479.49435298844,"Set1","Pattern4","Mesh4"
5,-4777.46156033481,"Set1","Pattern5","Mesh4"
6,-2528.54816598877,"Set2","Pattern6","Mesh4"
7,-6329.36501161259,"Set2","Pattern7","Mesh4"
8,-5011.84982297659,"Set2","Pattern8","Mesh4"
9,-3080.09323055786,"Set2","Pattern9","Mesh4"
10,-9054.17584916534,"Set2","Pattern10","Mesh4"
11,-251.604321130715,"Set3","Pattern11","Mesh4"
12,-272.615778797433,"Set3","Pattern12","Mesh4"
13,-337.551445169447,"Set3","Pattern13","Mesh4"
14,-352.866298587345,"Set3","Pattern14","Mesh4"
15,-384.041975892909,"Set3","Pattern15","Mesh4"
16,-103.620485329741,"Set4","Pattern16","Mesh4"
17,-465.956347778053,"Set4","Pattern17","Mesh4"
18,-320.48059992932,"Set4","Pattern18","Mesh4"
19,-149.66262290734,"Set4","Pattern19","Mesh4"
20,-559.58620740758,"Set4","Pattern20","Mesh4"
1,-4862.76198204325,"Set1","Pattern1","Mesh5"
2,-4508.59358993626,"Set1","Pattern2","Mesh5"
3,-5613.82596507639,"Set1","Pattern3","Mesh5"
4,-5548.09100573242,"Set1","Pattern4","Mesh5"
5,-4950.2014924294,"Set1","Pattern5","Mesh5"
6,-2680.90649585509,"Set2","Pattern6","Mesh5"
7,-6694.81551831925,"Set2","Pattern7","Mesh5"
8,-5211.7384827035,"Set2","Pattern8","Mesh5"
9,-3303.37324139683,"Set2","Pattern9","Mesh5"
10,-9540.73569837313,"Set2","Pattern10","Mesh5"
11,-256.638721234673,"Set3","Pattern11","Mesh5"
12,-275.940475666483,"Set3","Pattern12","Mesh5"
13,-340.542051991866,"Set3","Pattern13","Mesh5"
14,-355.603801029669,"Set3","Pattern14","Mesh5"
15,-392.775991843433,"Set3","Pattern15","Mesh5"
16,-117.925473116088,"Set4","Pattern16","Mesh5"
17,-525.050692922529,"Set4","Pattern17","Mesh5"
18,-336.924159627638,"Set4","Pattern18","Mesh5"
19,-164.870757159951,"Set4","Pattern19","Mesh5"
20,-634.744786710433,"Set4","Pattern20","Mesh5"
1,-4889.19170603013,"Set1","Pattern1","Mesh6"
2,-4594.53844455489,"Set1","Pattern2","Mesh6"
3,-5640.86028652522,"Set1","Pattern3","Mesh6"
4,-5573.55693997456,"Set1","Pattern4","Mesh6"
5,-4944.22538325246,"Set1","Pattern5","Mesh6"
6,-2678.08977600156,"Set2","Pattern6","Mesh6"
7,-6741.57427974311,"Set2","Pattern7","Mesh6"
8,-5246.79527704937,"Set2","Pattern8","Mesh6"
9,-3323.56937918224,"Set2","Pattern9","Mesh6"
10,-9536.30864809314,"Set2","Pattern10","Mesh6"
11,-257.197265851453,"Set3","Pattern11","Mesh6"
12,-275.816785795928,"Set3","Pattern12","Mesh6"
13,-342.434105041658,"Set3","Pattern13","Mesh6"
14,-355.825210916931,"Set3","Pattern14","Mesh6"
15,-391.647400713705,"Set3","Pattern15","Mesh6"
16,-117.533220177138,"Set4","Pattern16","Mesh6"
17,-534.163546468262,"Set4","Pattern17","Mesh6"
18,-337.72531133373,"Set4","Pattern18","Mesh6"
19,-166.225557383467,"Set4","Pattern19","Mesh6"
20,-624.636673625082,"Set4","Pattern20","Mesh6"
1,-4833.46441719266,"Set1","Pattern1","Mesh7"
2,-4517.6300442848,"Set1","Pattern2","Mesh7"
3,-5591.48046868395,"Set1","Pattern3","Mesh7"
4,-5638.6232853424,"Set1","Pattern4","Mesh7"
5,-4956.98911980258,"Set1","Pattern5","Mesh7"
6,-2677.85159427716,"Set2","Pattern6","Mesh7"
7,-6700.52106700438,"Set2","Pattern7","Mesh7"
8,-5242.27709008455,"Set2","Pattern8","Mesh7"
9,-3299.03491712192,"Set2","Pattern9","Mesh7"
10,-9507.27117198282,"Set2","Pattern10","Mesh7"
11,-256.634213408608,"Set3","Pattern11","Mesh7"
12,-276.077146128466,"Set3","Pattern12","Mesh7"
13,-340.895179326017,"Set3","Pattern13","Mesh7"
14,-355.74564494985,"Set3","Pattern14","Mesh7"
15,-391.232447907888,"Set3","Pattern15","Mesh7"
16,-117.212584721423,"Set4","Pattern16","Mesh7"
17,-528.532648102225,"Set4","Pattern17","Mesh7"
18,-337.768799455086,"Set4","Pattern18","Mesh7"
19,-164.696601792117,"Set4","Pattern19","Mesh7"
20,-626.780215753019,"Set4","Pattern20","Mesh7"
1,-4866.48133891488,"Set1","Pattern1","Mesh8"
2,-4567.35016775263,"Set1","Pattern2","Mesh8"
3,-5601.05591485813,"Set1","Pattern3","Mesh8"
4,-5551.48354034331,"Set1","Pattern4","Mesh8"
5,-4899.10047430285,"Set1","Pattern5","Mesh8"
6,-2674.29220381865,"Set2","Pattern6","Mesh8"
7,-6711.54061762685,"Set2","Pattern7","Mesh8"
8,-5223.4320692877,"Set2","Pattern8","Mesh8"
9,-3285.91853841559,"Set2","Pattern9","Mesh8"
10,-9474.76788462251,"Set2","Pattern10","Mesh8"
11,-256.659914193881,"Set3","Pattern11","Mesh8"
12,-275.8094074509,"Set3","Pattern12","Mesh8"
13,-341.689604381463,"Set3","Pattern13","Mesh8"
14,-355.69106425504,"Set3","Pattern14","Mesh8"
15,-393.367868956785,"Set3","Pattern15","Mesh8"
16,-116.637709329389,"Set4","Pattern16","Mesh8"
17,-529.77156115344,"Set4","Pattern17","Mesh8"
18,-337.126014567371,"Set4","Pattern18","Mesh8"
19,-165.916055341541,"Set4","Pattern19","Mesh8"
20,-620.348561747379,"Set4","Pattern20","Mesh8"
1,-4827.56437045888,"Set1","Pattern1","Mesh9"
2,-4641.34237150417,"Set1","Pattern2","Mesh9"
3,-5531.53934610084,"Set1","Pattern3","Mesh9"
4,-5477.29869522789,"Set1","Pattern4","Mesh9"
5,-4896.25963927562,"Set1","Pattern5","Mesh9"
6,-2646.69746754554,"Set2","Pattern6","Mesh9"
7,-6587.92749827255,"Set2","Pattern7","Mesh9"
8,-5145.45000515518,"Set2","Pattern8","Mesh9"
9,-3204.25123240176,"Set2","Pattern9","Mesh9"
10,-9309.7642193467,"Set2","Pattern10","Mesh9"
11,-255.060872908067,"Set3","Pattern11","Mesh9"
12,-275.042813883793,"Set3","Pattern12","Mesh9"
13,-338.604513107865,"Set3","Pattern13","Mesh9"
14,-354.959973364002,"Set3","Pattern14","Mesh9"
15,-391.964947987011,"Set3","Pattern15","Mesh9"
16,-114.777054356563,"Set4","Pattern16","Mesh9"
17,-512.888667728766,"Set4","Pattern17","Mesh9"
18,-332.350205684963,"Set4","Pattern18","Mesh9"
19,-158.410429930102,"Set4","Pattern19","Mesh9"
20,-601.125091290182,"Set4","Pattern20","Mesh9"
